"indef","def"
"rajl","rrajl"
"klb","lklb"
"minjara","lminjara"
"SbbaT","SSbbaT"
"korsi","lkorsi"
"98wa","l98wa"
"insan","l2insan"
"oukla","l2oukla"
"a7lam","l2a7lam"
"srwal","ssrwal"
"Tbla","TTbla"
"kas","lkas"
"ma","lma"
"8wa","l8wa"
"9r3a","l9r3a"
"dar","ddar"
"bit","lbit"
"mdrasa","lmdrasa"
"tomobil","ttomobil"
"motor","lmotor"
"chffar","chchffar"
"chjra","chchjra"
"3imara","l3imara"
"partma","lpartma"
"jrda","jjrda"
"n3as","nn3as"
"wld","lwld"
"bnt","lbnt"
"pikala","lppikala"
"tobis","ttobis"
"chari3","chchari3"
"drb","ddrb"
"7ouma","l7ouma"
"drouj","ddrouj"
"ferrouj","lferrouj"
"nkhla","nnkhla"
"lougha","llougha"
"3am","l3am"
"fakhour","lfakhour"
"yom","lyom"
"namousia","nnamousia"
"Se8d","SSe8d"
"3aada","l3aada"
"ntikhabat","nntikhabat"
"brlaman","lbrlaman"
"malik","lmalik"
"wzir","lwzir"
"brlamani","lbrlamani"
"ktichaf","lktichaf"
"charika","chcharika"
"mo9awala","lmo9awala"
"3chir","l3chir"
"sou9","ssou9"
"marchi","lmarchi"
"nhar","nnhar"
"7arb","l7arb"
"7bs","l7bs"
"7bbas","l7bbas"
"jarima","ljarima"
"frdi","lfrdi"
"mk7la","lmk7la"
"9rtas","l9rtas"
"mous","lmous"
"m3il9a","lm3il9a"
"3ach9a","l3ach9a"
"frchiTa","lfrchiTa"
"biro","lbiro"
"chrjm","chchrjm"
"jar","jjar"
"jiran","jjiran"
"fya9","lfya9"
"Sda3","SSda3"
"tanffos","ttanffos"
"3oman","l3oman"
"7araka","l7araka"
"wo9ouf","lwo9ouf"
"t7m7ima","ttm7ima"
"7mmam","l7mmam"
"kouzina","lkouzina"
"Twalit","TTwalit"
"trikko","ttrikko"
"nDadr","nnDadr"
"3amalia","l3amalia"
"3amaliat","l3amaliat"
"Sa7afa","SSa7afa"
"mSdar","lmSdar"
"mnb3","lmnb3"
"3adawa","l3adawa"
"3onf","l3onf"
"mamlaka","lmamlaka"
"jomhoria","ljomhoria"
"jm8or","ljm8or"
"mowatin","lmowatin"
"tsrkila","ttsrkila"
"mosta9ill","lmosta9ill"
"3skr","l3skr"
"3arabia","l3arabia"
"ni9ach","nni9ach"
"mzian","lmzian"
"Tri9","TTri9"
"moSala7a","lmoSala7a"
"rafD","rrafD"
"khibra","lkhibra"
"ljna","lljna"
"dawla","ddawla"
"7o9o9","l7o9o9"
"7e99","l7e99"
"9owwa","l9owwa"
"Tbsil","TTbsil"
"mma3n","lmma3n"
"clim","laclim"
"mochkil","lmochkil"
"tsalim","ttsalim"
"3afia","l3afia"
"l8ja","ll8ja"
"ksida","lksida"
"Tyyara","TTyyara"
"faDa2i","lfaDa2i"
"moghamara","lmoghamara"