"english","specific1_darija","specific2_darija","general_darija","darija_ar"
"magnetic_compass","bawSala","bouSala","","باوصالا"
"binoculars","minDaar","","","مينضار "
"projector","projiktour","","","پروجيكتور "
"sunglasses","nDaDr t chmch","","","نضاضر ت شمش "
"loupe","mokbbira","","","مكبّيرة"
"radio_telescope","telescop radio","","","تلسكوپ راديو "
"bow","9aws","","","قوس"
"cannon","mdfe3","medfe3","madfa3","مدفع"
"assault_rifle","mk7la","","","مكحلة"
"rifle","mk7la","","","مكحلة"
"projectile","9adyfa","9adifa","","قديفة"
"computer_keyboard","klavi t pc","","","كلاڤي ت پيسي"
"typewriter_keyboard","2ala kaatiba","","","ألة كاتبة"
"crane","grouwa","grwa","grwwa","ڭروّة"
"lighter","brika","","","بريكة"
"abacus","mi3daad","","","معداد"
"cash_machine","giche","guiche","gichi","ڭيشي "
"slide_rule","misTara tatzll9","","","ميسطارا تاتزلّق "
"desktop_computer","pc fix","","","پيسي فيكس"
"hand-held_computer","makina t lidd","","","ماكينا ت ليدّ "
"notebook","dftar","deftar","daftar","دفتر"
"web_site","maw9i3 electroni","","","موقع إلكتروني"
"harvester","makina t l7Sad","","","ماكينا ت لحصاد "
"thresher","makina t ddras","","","ماكينا ت الدراس "
"printer","imprimante","","","إمپريمانت "
"slot","makina t l9mr","","","ماكينا ت لقمر "
"vending_machine","makina t lbi3","","","ماكينا ت لبيع "
"sewing_machine","makina t lkhyaTa","","","ماكينا ت لخياطا "
"joystick","3Sa t ta7kkom","","","عصا ت تحكّم"
"switch","sarout t DDo","","","ساروت ت الضو "
"hook","Snnara","","","صنّارة"
"car_wheel","rwiDa t Tomobil","","","رويضا ت طوموبيل "
"paddlewheel","naa3ora","","","ناعورة"
"pinwheel","frfara","","","فرفارة"
"potter_s_wheel","rwiDa t lf55ar","","","رويضا ت لفخّار "
"gas_pump","bomba t liSanS","","","بومبا ت ليصانص "
"carousel","l3ba t ddowwara","","","لعبة ت الدوّارة"
"swing","z3loula","","","زعلولة"
"reel","bkkara","","","بكّارة"
"radiator","mobrrid","","","مبرّد"
"puck","9orS","","","قرص"
"hard_disc","disk dur","","","ديسك دير"
"sunglass","nDDara t chmch","","","نضّارة ت شمش"
"pick","fas","","","فاس "
"car_mirror","mraya t ttomobil","","","مرايا ت الطوموبيل"
"solar_dish","Sa7n t chmch","","","صحن ت شمش"
"remote_control","tilikomond","","","تيليكوموند "
"disk_brake","ddisk t lfran","","","الديسك ت لفران "
"buckle","bzim t smTa","","","بزيم ت سمطة"
"hair_slide","m9bT t ch3er","","","مقبط ت شعر "
"knot","3ogda","3gda","3o9da","عقدة"
"combination_lock","9fel r9mi","","","قفل رقمي "
"padlock","9fel","","","قفل "
"nail","msmar","","","مسمار "
"safety_pin","filil","filoul","","فيليل "
"screw","vis","vys","","ڤيس "
"muzzle","kmmama","","","كمّامة"
"seat_belt","SmTa t lkorsi","","","صمطة ت لكورسي"
"ski","ski","","","سكي "
"candle","chm3a","chem3a","cham3a","شمعة"
"jack-o-lantern","gr3a t halloween","","","ڭرعا ت هالّووين "
"spotlight","tSlit DDaw2","","","تسليط الضوء"
"torch","ppil","","","الپيل "
"neck_brace","da3ama tl 3ong","","","دعامة تل عنڭ"
"pier","Tri9 f lb7r","","","طريق ف لبحر "
"tripod","tolaati l9awa2im","","","تلاتي القوائم"
"maypole","3amoud t chTi7","","","عمود ت شطيح"
"mousetrap","mSyda t lfiran","","","مصيدا ت لفيران "
"spider_web","chbka t l3ankabout","","","شبكا ت لعنكبوت"
"trilobite","tolaatiat l foSouS","","","تلاتية الفصوص"
"harvestman","harvestman (3ankabout)","","","هارڤستمان (عنكبوت)"
"scorpion","3grba","","","عڭربة"
"black_and_gold_garden_spider","black_and_gold_garden_spider (3ankabout)","","","بلاكك_اند_ڭولد_ڭاردن_سپيدر (عنكبوت)"
"barn_spider","barn_spider (3ankabout)","","","بارن_سپيدر (عنكبوت)"
"garden_spider","garden_spider (3ankabout)","","","ڭاردن_سپيدر (عنكبوت)"
"black_widow","black_widow (3ankabout)","","","بلاكك_ويدوو (عنكبوت)"
"tarantula","rtila","","","رتيلة"
"wolf_spider","wolf_spider (3ankabout)","","","وولف_سپيدر (عنكبوت)"
"tick","grad","","","ڭراد "
"centipede","omm l2arba3a w l2arba3in","","","أُمّ لأرباعا و لأرباعين "
"isopod","motasawi l arjoul (7achara)","","","متساوي ل أرجل (حشرة)"
"Dungeness_crab","boujniba Dungeness","","boujniba","بوجنيبة"
"rock_crab","boujniba t SSkhra","","boujniba","بوجنيبة"
"fiddler_crab","boujniba lkwamanji","","boujniba","بوجنيبة"
"king_crab","boujniba lmalik","","boujniba","بوجنيبة"
"American_lobster","karkand 2amriki","","","كاركاند أمريكي "
"spiny_lobster","karkand chaouki","","","كاركاند شوكي"
"crayfish","jaraad lba7r","","","جراد لبحر"
"hermit_crab","boujniba lf9i8","","boujniba","بوجنيبة"
"tiger_beetle","khnfousa t nnmer","","khnfousa","خنفوسة"
"ladybug","d3sou9a","","","دعسوقة"
"ground_beetle","khnfousa t larD","","khnfousa","خنفوسة"
"long-horned_beetle","khnfousa b gron Twaal","","khnfousa","خنفوسة"
"leaf_beetle","khnfousa t loura9","","khnfousa","خنفوسة"
"dung_beetle","khnfousa t louskh","","khnfousa","خنفوسة"
"rhinoceros_beetle","khnfousa wa7id l9arn","","khnfousa","خنفوسة"
"weevil","sousa","","","سوسة"
"fly","dbbana","","","دبّانة"
"bee","n7la","","","نحلة"
"grasshopper","jraad","","","جراد"
"cricket","7achara tl cricket","","","حشرة تل كريكت"
"walking_stick","7achara tl3Sa lghadia","","walking_stick (7achara)","والكينڭ_ستيك (حشرة)"
"cockroach","srra9 zzit","","","سرّاق الزيت "
"mantis","balhaj (7achara)","faras nnabi","","بالحاج (حشرة)"
"cicada","zziz (7achara)","","","الزيز (حشرة)"
"leafhopper","leafhopper (7achara)","","","لفهوپّر (حشرة)"
"lacewing","lacewing (7achara)","","","لاسوينڭ (حشرة)"
"dragonfly","ya3soub (7achara)","","","يعسوب (حشرة)"
"damselfly","ddbbana l3zba","","damselfly (dbbana)","دامسفلاي (دبّانة)"
"admiral","faracha amiral","","admiral (faracha)","أدميرال (فراشة)"
"ringlet","faracha t zzghb","","ringlet (faracha)","رينڭلت (فراشة)"
"monarch","faracha 7aakima","","monarch (faracha)","مونارك (فراشة)"
"cabbage_butterfly","faracha t lkarnab","","cabbage_butterfly (faracha)","فراشة"
"sulphur_butterfly","faracha t lkbrit","","sulphur_butterfly (faracha)","فراشة"
"lycaenid","lycaenid (faracha)","","","فراشة"
"jellyfish","9ndil lba7r","","","قنديل لبحر"
"sea_anemone","bll3man tl b7er","","","بلّعمان تل بحر "
"brain_coral","brain_coral (7ayawan b7ri)","","","براين_كورال (حيوان بحري)"
"flatworm","douda msTT7a (7achara)","","flatworm (douda)","فلاتوورم (دودة)"
"nematode","douda tl khiT (douda)","","nematode (douda)","نماتود (دودة)"
"conch","bouzzroug","","","بوزّروڭ "
"snail","berbbouch","","","بربّوش "
"slug","slug (7achara)","","","سلوڭ (حشرة)"
"sea_slug","sea_slug (7achara b7ria)","","","حشرة بحرية"
"chiton","chiton (rkhwiat)","","","شيتون (رخويات) "
"sea_urchin","gnfoud t lma","","","ڭنفود ت لما "
"sea_cucumber","khyar t lma","","","خيار ت لما "
"iron","mSlou7","","","مصلوح "
"espresso_maker","makina tl98wa","","","ماكينا تلقهوة"
"microwave","micro onde","","","ميكرو أُند "
"Dutch_oven","frran holandi","","","فرّان هولاندي "
"rotisserie","chwwaya","","","شوّاية"
"toaster","toasteur","","","توستور"
"waffle_iron","gaufrier","","","ڭوفريي"
"vacuum","laspirateur","","","لاسپيراتور "
"dishwasher","makina t lmma3en","","","ماكينا ت لمّاعن "
"refrigerator","tllaja","","","تلّاجة"
"washer","makina t ssabon","","","ماكينا ت الصابون"
"Crock_Pot","kokout","","","كوكوت "
"frying_pan","m9la","","","مقلة"
"wok","wok (m9la)","","","ووك (مقلة)"
"caldron","gdra","","","ڭدرة"
"coffeepot","bri9","","","بريق "
"teapot","brrad","","","برّاد "
"spatula","spatule","","","سپاتول "
"altar","Tbla tl kanisa","","","طبلا تل كنيسة"
"triumphal_arch","9aws nnaSr","","","قوس النصر"
"patio","9a3ddar","","","قاع دّار"
"steel_arch_bridge","jisr l9awS SSolb","","","جسر القوس الصلب"
"suspension_bridge","ljisr lmo3alla9","","","لجسر لمعلّق"
"viaduct","gnTra","","","ڭنطرة"
"barn","zriba","","","زريبة"
"greenhouse","machtal","","","مشتل"
"palace","9Sar","","","قصر"
"monastery","daar 3ibada","","","دار عبادة"
"library","mktaba","","","مكتبة"
"apiary","khalyya t nn7el","","","خليّة ت النحل"
"boathouse","dar 3la lma","","","دار علا لما "
"church","kanisa","","","كنيسة"
"mosque","jam3","","","جامع "
"stupa","stupa (binaya boudia)","","","ستوپا (بناية بودية)"
"planetarium","9bba samawia","","","قبّة سماوية"
"restaurant","risTora","","","ريسطورة"
"cinema","cinema","","","سينما "
"home_theater","msra7 t ddar","","","مسرح ت الدار"
"lumbermill","mnchara tlkhcheb","","","منشرة تلخشب"
"coil","mlfouf","","","ملفوف "
"obelisk","timtal 3amoudi","","","تمتال عمودي"
"totem_pole","3amoud ramzi","","","عمود رمزي"
"castle","9l3a","","","قلعة"
"prison","7ebs","","","حبس "
"grocery_store","7anout","","","حانوت "
"bakery","mkhbaza","","","مخبازة"
"barbershop","7lla9","","","حلّاق "
"bookshop","mktaba","","","مكتابة"
"butcher_shop","gzzar","","","ڭزّار "
"confectionery","7alawiat","","","حلويات"
"shoe_shop","ma7all t SSbabT","","","محالّ ت الصبابط"
"tobacco_shop","saka","","","ساكة"
"toyshop","ma7all t lou3ab","","","محالّ ت لعاب"
"fountain","nafoura","","","نافورة"
"cliff_dwelling","sokna f jarf","","","سكنة ف جرف"
"yurt","yurt (khayma aasyawia)","","","خيمة أسيوية"
"dock","parking t lbaTowat","","","پاركينڭ ت لباطووات "
"brass","n7as","","","نحاس "
"megalith","megalith (Skhra kbira)","","","مڭاليت (صخرة كبيرة)"
"bannister","drbouz","","","دربوز "
"breakwater","baryir t lmmaj","","","باريير ت لمّاج "
"dam","baraj","","","باراج "
"chainlink_fence","syaj","","","سياج "
"picket_fence","syaj t lkhcheb","","","سياج ت لخشب "
"worm_fence","syaj ddouda","","","سياج الدودة"
"stone_wall","7iT t l7jer","","","حيط ت لحجر "
"grille","chbka","","","شبكة"
"sliding_door","bab kaytjerr","","","باب كايتجرّ "
"turnstile","bab kaydour","","","باب كايدور "
"mountain_tent","khyma t jjbel","","","خيمة ت الجبل"
"scoreboard","Tablot nnatija","","","طابلو ت النتيجة"
"honeycomb","khalia t nn7el","","","خالية ت النحل"
"plate_rack","chbka t lmma3en","","","شبكة ت لمّاعن"
"pedestal","9a3ida t ttimtal","","","قاعدة ت التمتال"
"beacon","manaara","","","منارة"
"mashed_potato","bTaTa mbjougha","","","بطاطا مبجوغا "
"bell_pepper","flfla 7lowwa","","","فلفلة حلوّة"
"head_cabbage","rass lmkowwer","","","راسّ لمكووّر "
"broccoli","brokoli","","","بروكولي "
"cauliflower","chiflour","","","شيفلور "
"zucchini","kourjit","","","كورجيت "
"spaghetti_squash","gr3a m3mmra b spaghetti","","","ڭرعا معمّرا ب سپاغتّي "
"acorn_squash","gr3a m3mmra b lblloT","","","ڭرعا معمّرا ب لبلّوط "
"butternut_squash","gr3a m3mmra","","","ڭرعا معمّرة"
"cucumber","khyar","","","خيار "
"artichoke","9ou9","","","قوق "
"cardoon","kherchouf","","","خرشوف "
"mushroom","champinion","champignon","","شامپينيون "
"shower_curtain","rido t l7mmam","","","ريدو ت لحمّام "
"jean","djin","","","دجين "
"carton","karton","","","كارتون "
"handkerchief","mouchoir","mouchwar","","موشوار"
"sandal","sndara","sndala","","سندارة"
"ashcan","slla t zzbl","","","سلّة ت الزبل"
"safe","kofr for","coffre fort","","كوفر فور "
"plate","TbSil","","","طبصيل "
"necklace","snsla t l3ong","","","سنسلة ت لعونڭ"
"croquet_ball","kora t croquet","","","كورة ت كروكيه"
"fur_coat","kbboT t lfarw","","","كبّوط ت الفرو"
"thimble","7dida t lkhyyaT","","","حديدة ت لخيّاط"
"pajama","pyjama","","","پيجامة"
"running_shoe","sbrdila t jjra","","","سبرديلة ت الجرا"
"cocktail_shaker","khllaaT l cocktail","","","خلّاط ل كوكتايل"
"chest","Snidi9a","","","صنيديقا "
"manhole_cover","ghTa t SSrb","","","غطا ت الصرب "
"modem","modem","","","مودم "
"tub","banio","","","بانيو "
"tray","plaTo","","","پلاطو "
"balance_beam","3Sa t ttawazon","","","عصا ت التوازن"
"bagel","benye","beignet","","بينيي"
"prayer_rug","zrbia t SSla","","","زربية ت الصلا"
"kimono","kimono (lbsa t japon)","","","كيمونو (لبسا ت جاپون) "
"hot_pot","Taba9 skhoun","","","طبق سخون"
"whiskey_jug","bri9 t lwiski","","","بريق ت لويسكي "
"knee_pad","banDa t rrokba","","","بانضا ت الروكبا "
"book_jacket","ghlaf t lktab","","","غلاف ت لكتاب "
"spindle","mghzl","","","مغزل "
"ski_mask","mask t ski","","","ماسك ت سكي "
"beer_bottle","9r3a t lbirra","","","قرعا ت لبيرّا "
"crash_helmet","kask","","","كاسك "
"bottlecap","ghla9a","","","غلاقا "
"tile_roof","9rmoud","","","قرمود "
"mask","mask","","","ماسك "
"maillot","mayyo","","","مايّو "
"Petri_dish","bwaTa t lbacteria","","","بواطا ت لباكتريا "
"football_helmet","kask t rrigbi","","","كاسك ت الريڭبي "
"bathing_cap","Boni t l7mmam","bonnet t l7mmam","","بوني ت لحمّام "
"teddy","nounnous","","","نونّوس "
"holster","jwa t lfrdi","","","جوا ت لفردي "
"pop_bottle","9r3a t lmonaDa","","","قرعا ت لموناضا "
"photocopier","fotokopi","","","فوتوكوپي "
"vestment","lbsa","","","لبسة"
"crossword_puzzle","kalimat mota9aTi3a","","","كلمات متقاطعة"
"golf_ball","kora t lgolf","","","كورة ت لڭولف"
"trifle","7liwa","","","حليوة"
"suit","koustim","","","كوستيم "
"water_tower","chaTo t lma","","","شاطو ت لما "
"feather_boa","chal t rrich","","","شال ت الريش "
"cloak","sl8am","","","سلهام "
"red_wine","chrab","","","شراب "
"drumstick","3Sa t TTbal","","","عصا ت الطبل"
"shield","dir3","","","درع"
"Christmas_stocking","t9chira t noel","","","تقشيرة ت نويل"
"hoopskirt","kswa","","","كسوة"
"menu","menu","","","موني"
"stage","minSSa","","","منصّة"
"bonnet","Boni","bonnet","","بوني "
"meat_loaf","Trf t ll7em","","","طرف ت اللحم "
"baseball","bizbol","baseball","","بيزبول "
"face_powder","poudr tlouje8","","","پودر تلوجه "
"scabbard","ghTa t lmous","","","غطا ت لموس "
"sunscreen","krem t chmch","","","كريم ت شمش"
"beer_glass","kas t chrab","","","كاس ت شراب "
"hen-of-the-woods","champinion","champignon","","شامپينيون "
"guacamole","guacamole (puree)","","","ڭواكامول (پوري) "
"lampshade","abajour","abat jour","","أباجور "
"wool","Sofa","","","صوفة"
"hay","ttben","","","التبن "
"bow_tie","papion","papillon","","پاپيون "
"mailbag","sak t lfakteur","","","ساك ت لفاكتور "
"water_jug","bri9 t lma","","","بريق ت لما "
"bucket","sTal","","","سطل"
"dishrag","khr9a t lmma3en","","","خرقة ت لمّاعن"
"soup_bowl","zlafa","","","زلافة"
"eggnog","chrab t lbiD","","","شراب ت لبيض "
"mortar","m8raz","","","مهراز "
"trench_coat","monTo","","","مونطو "
"paddle","mijdaaf","","","مجداف"
"chain","snsla","","","سنسلة"
"swab","jffafa","","","جفّافة"
"mixing_bowl","zlafa t tkhlaT","","","زلافة ت تخلاط"
"potpie","kika","","","كيكة"
"wine_bottle","9r3a t chrab","","","قرعا ت شراب "
"shoji","shoji (7aajiz t japon)","","","حاجز ت جاپون"
"bulletproof_vest","jakiTa moDaDDa l 9rTaS","","","جاكيطة مضادّة ل قرطاص"
"drilling_platform","minSSa t l7afr","","","منصّة ت لحفر"
"binder","classeur","","","كلاسّور "
"cardigan","cardigan (jakiTa)","","","كارديڭان (جاكيطا) "
"sweatshirt","trikko","","","تريكّو "
"pot","m7ba9","","","محبق"
"birdhouse","dar t Twiyyer","","","دار ت طوييّر "
"hamper","sella","","","سلّة"
"ping-pong_ball","kora t ping-pong","","","كورا ت پينڭ-پونڭ "
"pencil_box","3olba t l2a9lam","","","علبة ت لأقلام"
"pay-phone","8atif 3omoumi","","","هاتف عمومي"
"consomme","consomme (chourba)","","","شوربة"
"apron","Tablia","","","طابلية"
"punching_bag","kys t lmolaakama","","","كيس ت لملاكمة"
"backpack","chkara","","","شكارة"
"groom","3ris","","","عريس "
"bearskin","bearskin (Trbouch t ngliz)","","","طربوش ت نڭليز"
"pencil_sharpener","minjara","","","منجرة"
"broom","chTTaba","","","شطّابة"
"mosquito_net","chbka t ddebban","","","شبكا ت الدبّان "
"abaya","3abaya","","","عباية"
"mortarboard","Trbouch t ttakharroj","","","طربوش ت التخرّج"
"poncho","poncho (kbboT)","","","پونشو (كبّوط) "
"crutch","3okkaz","","","عكّاز"
"Polaroid_camera","camera","","","كاميرة"
"space_bar","espace","","","إسپاس "
"cup","kas","","","كاس "
"racket","rakiTa","","","راكيطة"
"traffic_light","DDo l7mr","","","الضو لحمر "
"quill","richa","","","ريشة"
"radio","radio","","","راديو "
"dough","3jina","","","عجينة"
"cuirass","dir3","","","درع"
"military_uniform","lbsa t l3sker","","","لبسة ت لعسكر"
"lipstick","3kr","","","عكر "
"shower_cap","Trbouch t l7mmam","","","طربوش ت لحمّام "
"monitor","ecran","","","شاشة"
"oscilloscope","raasm ddabdabaat","","","راسم الدبدبات"
"mitten","liga","","","ليڭة"
"brassiere","soutyamat","","","سوتيامات "
"French_loaf","palizyan","","","پاليزيان "
"vase","vaz","","","ڤاز "
"milk_can","bakia t l7lib","","","باكية ت لحليب"
"rugby_ball","kora t rrigbi","","","كورا ت الريڭبي "
"paper_towel","minchafa t lwra9","","","مينشافة ت لوراق"
"earthstar","champinion","champignon","","شامپينيون "
"envelope","jwa t lbra","","","جوا ت لبرا "
"miniskirt","Saya 9Sira","","","صايا قصيرة"
"cowboy_hat","Trbouch t lkoboy","","","طربوش ت لكوبوي "
"trolleybus","Tobis","","","طوبيس "
"perfume","rri7a","","","الريحة"
"bathtub","banio t l7mmam","","","بانيو ت لحمّام "
"hotdog","8otdog","","","هوتدوڭ "
"coral_fungus","champinion","champignon","","شامپينيون "
"bullet_train","tran sari3","TGV","","تران سريع"
"pillow","mkhdda","","","مخدّة"
"toilet_tissue","papijinik","","","پاپيجينيك "
"cassette","mosjjala","","","مسجّلة"
"carpenters kit","materiel t nnjjar","","","ماتريل ت النجّار "
"ladle","mghorfa","","","مغرفة"
"stinkhorn","champinion","champignon","","شامپينيون "
"lotion","crem t jeld","","","كريم ت جلد"
"hair_spray","rchchacha t ch3er","","","رشّاشة ت شعر"
"academic_gown","lbsa t ttakharroj","","","لبسة ت التخرّج"
"dome","9obba","","","قبّة"
"crate","Sndou9","","","صندوق "
"wig","peruk","","","پروك "
"burrito","burrito (sandwich)","","","بورّيتو (ساندويش) "
"pill_bottle","9r3a t ddwa","","","قرعة ت الدوا"
"chain_mail","chain_mail (chbka t l7arb)","","","شبكة ت الحرب"
"theater_curtain","sitaar","","","ستار"
"window_shade","khamia t chrjm","","","خامية ت شرجم"
"barrel","brmil","","","برميل "
"washbasin","lavabo","","","لاڤابو "
"ballpoint","stylo","","","ستيلو "
"basketball","kora t lbaskit","","","كورة ت لباسكيت"
"bath_towel","foTa","","","فوطة"
"cowboy_boot","SbbaT t lcowboy","","","صبّاط ت لكووبوي "
"gown","keswa","","","كسوة"
"window_screen","chbka t nnamous","","","شبكة ت الناموس"
"agaric","champinion","champignon","","شامپينيون "
"cellular_telephone","portabl","","","پورتابل "
"nipple","rDDa3a","","","رضّاعة"
"barbell","barra t l7did","","","بارّا ت لحديد "
"mailbox","Sndou9 lbarid","","","صندوق لبريد"
"lab_coat","Tablia t lmokhtabar","","","طابلية ت لمختبر"
"fire_screen","waa9i Dedd l3afia","","","واقي ضدّ لعافيا "
"minibus","minibus","","","ميني بيس"
"packet","bakyya","","","باكيّة"
"maze","mataa8a","","","متاهة"
"pole","3amoud","","","عمود"
"horizontal_bar","barra ofo9yya","","","بارّة أُفقيّة"
"sombrero","sombrero (Trbouch tl mexique)","","","طربوش ت المكسيك"
"pickelhaube","pickelhaube (kask t lalman)","","","كاسك ت لالمان"
"rain_barrel","brmil t chchta","","","برميل ت الشتا "
"wallet","bsTam","","","بسطام "
"cassette_player","mosjjala","","","موسجّالة"
"comic_book","ktab t rrosoum","","","كتاب ت الروسوم "
"piggy_bank","gdira t lflous","","","ڭديرة ت لفلوس"
"street_sign","blaka","","","بلاكة"
"bell_cote","borj ljaras","","","برج لجرس"
"fountain_pen","stylo","","","ستيلو "
"Windsor_tie","3ogda t lgrafaTa","","","عڭدة ت لڭرافاطة"
"volleyball","kora tl volley","","","كورة تل ڤولّي"
"overskirt","keswa","","","كسوة"
"sarong","keswa aasyawia","","","كسوة اسيوية"
"purse","sac","","","صاك"
"bolo_tie","grafaTa t bolo","","","ڭرافاطا ت بولو "
"bib","ryyaga","","","ريّاڭة"
"parachute","parachute","","","پاراشوت "
"sleeping_bag","chakouch t nn3as","","","شاكوش ت النعاس "
"television","tlfaza","","","تلفازة"
"swimming_trunks","chort tl 3ouman","","","شورت تل عومان "
"measuring_cup","kas tl 9iyaas","","","كاس تل قياس"
"espresso","espresso (98wa)","","","إسپرسّو (قهوة)"
"pizza","pizza","","","بيتزا"
"breastplate","dir3","","","درع"
"shopping_basket","slla tl m9odia","","","سلّة تل مقدية"
"wooden_spoon","mghorfa","","","مغرفة"
"saltshaker","9r3a tl mel7a","","","قرعة تل ملحة"
"chocolate_sauce","choklaT mdowweb","","","شكلاط مدوّب"
"ballplayer","l33ab tl kora","","","لعّاب تل كورة"
"goblet","kas","","","كاس "
"gyromitra","champinion","champignon","","شامپينيون "
"stretcher","bayaS tl marDa","","","باياص تل مرضا"
"water_bottle","9r3a t lma","","","قرعة ت لما"
"dial_telephone","tilifon fix","","","تيليفون فيكس"
"soap_dispenser","9ri3a t SSaboun","","","قريعة ت الصابون"
"jersey","jersey (trikko)","","","جرسي (تريكّو) "
"school_bus","na9l madrassi","","","نقل مدرسي"
"jigsaw_puzzle","puzzle","","","پوزّل "
"plastic_bag","mika","","","ميكة"
"reflex_camera","camera","","","كاميرة"
"diaper","likouch","","","ليكوش "
"Band_Aid","faSma","","","فاصما "
"ice_lolly","ppolo","","","پولو"
"velvet","toub mobbra","","","توب موبّرا "
"tennis_ball","tinisa","","","تينيسة"
"gasmask","mask tl gaz","","","ماسك تل ڭاز "
"doormat","tapia tl bab","","","تاپية تل باب"
"Loafer","SbbaT","","","صبّاط "
"ice_cream","laglaS","","","لاڭلاص "
"pretzel","pretzel (7lwa)","","","پرتزل (حلوة)"
"quilt","ghTa","","","غطا "
"maillot","mayyo","","","مايّو "
"tape_player","mosjjala","","","موسجّلة"
"clog","Sabo","","","صابو "
"iPod","iPod","","","آي پود"
"bolete","champinion","champignon","","شامپينيون "
"scuba_diver","ghwwaS","","","غوّاص "
"pitcher","bri9","","","بريق "
"matchstick","lou9id","","","لوقيد "
"bikini","bikini","","","بيكيني "
"sock","t9achr","","","تقاشر "
"CD_player","lecteur CD","","","ليكتور سيدي"
"lens_cap","ghTa tl 3adasa","","","غطا تل عدسة"
"thatch","s9f t jjrid","","","سقف ت الجريد "
"vault","vault (s9f tl 9was)","","","ڤولت (سقف تل قواس) "
"beaker","kas tl 9iyas","","","كاس تل قياس"
"bubble","rghwa","","","رغوة"
"cheeseburger","cheeseburger","","","تشيز برڭر"
"parallel_bars","barrat tl gymnastic","","","بارّات تل جيمناستيك"
"flagpole","barra t rraya","","","بارّا ت الراية"
"coffee_mug","kas tl 98wa","","","كاس تل قهوة"
"rubber_eraser","gouma","","","ڭوما "
"stole","chal","","","شال "
"carbonara","carbonara (sauce)","","","كاربونارا (صوص)"
"dumbbell","alter","haltere","","ألطير"
