name,name_darija
"3awatif",عواطف
"aafaf",عفاف
"aalia",عالية
"aatika",عتيقة
"abir",عبير
"achwak",أشواق
"afaf",عفاف
"ahlam",أحلام
"aicha",عائشة
"amal",أمل
"amina",أمينة
"amira",أميرة
"anisa",أنيسة
"arwa",أروى
"aroua",أروى
"asmaa",أسماء
"assia",أسية
"assil",أسيل
"atika",عتيقة
"atikah",عتيقة
"atiqa",عتيقة
"aya",آية
"aziza",عزيزة
"badiaa",بديعة
"basma",بسمة
"bouchra",بشرى
"bouthaina",بثينة
"chaima",شيماء
"chama",شامة
"chorouq",شروق
"dalal",دلال
"daouia",الضاوية
"dounia",دنيا
"donia",دنية
"douaa",دعاء
"fadoua",فدوى
"faiza",فايزة
"farah",فرح
"farida",فريدة
"fatiha",فاطمة
"fatima ezzahra",فاطمة الزهراء
"fatima",فاطمة
"fatimazahra",فاطمة الزهراء
"fatimezahra",فاطمة الزهراء
"fayrouz",فيروز
"fouzia",فوزية
"ghada",غادة
"ghita",غيثة
"ghizlane",غزلان
"habiba",حبيبة
"hafida",حفيظة
"hajar",هاجر
"hakima",حكيمة
"hala",هالة
"halima",حليمة
"hana",هناء
"hanaa",هناء
"hanae",هناء
"hanan",حنان
"hanane",حنان
"hasna",حسناء
"hayat",حياة
"hiba",هبة
"hibat allah",هبة الله
"hind",هند
"houda",هدى
"houria",حورية
"ibtissam",ابتسام
"ihssan",إحسان
"ikram",إكرام
"ikrame",إكرام
"ilham",إلهام
"illi",إلي
"imane",إيمان
"ines",إيناس
"intissar",إنتصار
"islam",إسلام
"jamila",جميلة
"jana",جنى
"jawahir",جواهر
"jihane",جهان
"jmia",جميعة
"joumana",جمانة
"joudia",جودية
"kaltoum",كلثوم
"karima",كريمة
"kawtar",كوثر
"kaoutar",كوثر
"keltoum",كلثوم
"khadija",خديجة
"khaoula",خولة
"khdouj",خدوج
"laila",ليلى
"lamia",لمياء
"lamiae",لمياء
"lara",لارا
"latifa",لطيفة
"layla",ليلى
"leila",ليلى
"lina",لينة
"lilya",ليليا
"loubna",لبنى
"majda",ماجدة
"majdouline",مجدولين
"maha",مها
"malak",ملاك
"malika",مليكة
"manal",منال
"mariam",مريم
"marwa",مروة
"meriem",مريم
"meryem",مريم
"mennana",منانة
"mina",مينة
"mouna",منى
"nabila",نبيلة
"nada",ندى
"nadia",نادية
"nahla",نهلة
"naima",نعيمة
"najat",نجاة
"najoua",نجوى
"najwa",نجوى
"narjis",نرجس
"narimane",نريمان
"nassima",نسيمة
"nawal",نوال
"nermin",نرمين
"nezha",نزهة
"niama",نعمة
"nissrine",نسرين
"nora",نورة
"noufissa",نفيسة
"nouha",نهى
"noha",نهى
"nouhaila",نهيلة
"nour el houda",نور الهدى
"nour",نور
"nour",نور
"noura",نورة
"omnia",أمنية
"ouafa",وفاء
"ouarda",وردة
"oumaima",أميمة
"oumayma",أميمة
"qamar",قمر
"rabab",رباب
"rabia",ربيعة
"rabiaa",ربيعة
"racha",رشا
"rachida",رشيدة
"raghda",رغدة
"rahma",رحمة
"raja",رجاء
"rajae",رجاء
"rania",رانية
"rhada",غادة
"rhita",غيثة
"rihab",رحاب
"riham",ريهام
"rim",ريم
"rita",غيثة
"ritaj",رتاج
"rkia",رقية
"roua",روى
"roukaya",رقية
"rouqaya",رقية
"saadia",سعدية
"sabah",صباح
"safa",صفاء
"safaa",صفاء
"safia",صفية
"sahar",سحر
"saida",سعيدة
"salima",سليمة
"salma",سلمى
"saloua",سلوى
"salwa",سلوى
"samah",سماح
"samar",سمر
"samia",سامية
"samira",سميرة
"sana",سناء
"sanaa",سناء
"sanae",سناء
"saoussane",سوسن
"sara",سارة
"siham",سهام
"siwar",سوار
"smahane",اسمهان
"sofia",صوفية
"soha",سهى
"soraya",سرية
"souad",سعاد
"soukayna",سكينة
"soumeya",سمية
"tasnim",تسنيم
"touria",ترية
"wafa",وفاء
"wafaa",وفاء
"wafae",وفاء
"wassila",وسيلة
"wassima",وسيمة
"wiam",وئام
"widad",وداد
"wissal",وصال
"wissam",وسام
"yamina",يمينة
"yamna",يامنة
"yara",يارا
"yasmine",ياسمين
"yousra",يسرى
"zahira",زهيرة
"zahra",زهرة
"zaina",زينة
"zakia",زكية
"zeineb",زينب
"zhor",زهور
"zineb",زينب