n1,n2,n3,darija_ar,eng
film,,,فيلم,film
mo7aDara,,,محاضرة,conference
application,,,أپّليكاسيون,application
TaTbi9,,,تطبيق,application
Sa7afa,,,صحافة,press
jem3,jam3,jm3,جمع,addition
station,,,ستاسيون,station
ma7al,,,محل,shop
mnTa9a,minTa9a,,منطقة,region
chek,chk,,شك,doubt
aghlabia,,,أغلبية,majority
daraja,,,درجة,degree
dem,dmm,dm,دم,blood
SoT,SouT,,صوت,sound
maw9i3,,,موقع,site
ahammia,,,أهمية,importance
3onwan,,,عنوان,title
la9ab,,,لقب,title
faSila,,,فصيلة,species
zyada,ziyada,,زيادة,increase
ihtimam,,,إهتمام,concern
moSaba9a,,,مسابقة,competition
bernamaj,,,برنامج,software
siyda,,,سيدة,lady
jawab,,,جواب,answer
2ard,,,أرض,earth
bent,,,بنت,daughter
hadaf,,,هدف,purpose
ms2oulia,mas2oulia,,مسؤولية,responsibility
ra2is,,,رئيس,leader
wad,ouad,,واد,river
3in,3ayn,,عين,eye
9oDra,,,قدرة,ability
jadibia,,,جادبية,gravity
jadibia,,,جادبية,attractability
mo3arada,,,معارضة,opposition
7amla,7emla,7mla,حملة,campaign
7tiram,,,حترام,respect
mohimma,,,مهمة,task
solde,,,صولد,sale
tkhfiD,,,تخفيض,sale
kaml,,,كامل,whole
DabiT,,,ضابط,officer
9ism,,,قسم,division
biasa,piasa,,بياسة,piece
na9S,,,ناقص,lack
marad,mard,mrd,مرض,disease
materiel,,,ماترييل,equipment
misa7a,,,مساحة,surface
oxford,,,أكسفورد,oxford
Talab,,,طلب,demand
boSTa,,,بوصطة,post
fom,fmm,fm,فم,mouth
radio,,,راديو,radio
mo7awala,,,محاولة,attempt
9iTa3,,,قطاع,sector
charika,,,شركة,firm
7ala,,,حالة,status
salam,,,سلام,peace
tanawwo3,,,تنوّع,variety
ostad,stad,,أُستاد,teacher
mo3llim,mo3allim,,معلّم,teacher
barnamaj,,,برنامج,show
naTi9,,,ناطق,speaker
trebia,tribia,,تربية,baby
dra3,,,دراع,arm
9a3ida,,,قاعدة,base
anisa,2anisa,,أنسة,miss
mochkil,,,موشكيل,trouble
ta9afa,,,ثقافة,culture
ittijah,,,إتجاه,direction
siya9,,,سياق,context
chakhSiya,chkhSiya,,شخصية,character
7arf,7rf,,حرف,character
ni9ach,,,نقاش,discussion
mo7adata,,,محادثة,discussion
maDi,,,ماضي,past
wazn,,,وزن,weight
monaDDama,,,منظمة,organisation
akh,,,أخ,brother
dawri,,,دوري,league
3oSba,,,عصبة,league
charT,,,شرط,condition
makina,,,ماكينة,machine
ni9ach,,,نقاش,argument
dalil,,,دليل,argument
jins,,,جنس,sex
mizania,,,ميزانية,budget
nglizia,,,انجليزية,english
transpor,,,ترانسپور,transport
9sem,9sm,,قسم,share
walida,,,والدة,mum
flous cash,,,فلوس كاش,cash
tabadol,,,تبادل,exchange
mosa3ada,,,مساعدة,aid
mktaba,maktaba,,مكتبة,library
noskha,nskha,,نسخة,version
9a3ida,,,قاعدة,rule
atay,,,أتاي,tea
tawazon,,,توازن,balance
mizan,,,ميزان,balance
3chia,,,عشية,afternoon
mnTa9a,minTa9a,,منطقة,district
Dora,,,دورة,turn
mohimma,,,مهمة,duty
stiTla3,,,استطلاع,survey
7oDor,7oDour,,حضور,presence
t2tir,ta2tir,te2tir,تأثير,influence
7jra,7ajra,7ejra,حجرة,stone
kelb,klb,kalb,كلب,dog
mjmo3a,,,مجموعة,collection
modir,,,مدير,executive
khiTab,,,خطاب,speech
waDifa,,,وظيفة,function
malika,,,ملكة,queen
jwaj,,,جواج,marriage
STok,,,صطوك,stock
fachal,,,فشل,failure
tlmid,tilmid,,تلميذ,student
Talib,,,طالب,student
mjhoud,majhoud,mejhoud,مجهود,effort
3oTla,,,عطلة,holiday
carriere,,,كاريير,career
hojom,hojoum,8ojoum,هجوم,attack
Tol,,,طول,length
3awd,,,عود,horse
ta9addom,,,تقدم,progress
nbta,nabta,nebta,نبتة,plant
3ala9a,,,علاقة,relation
kora,,,كورة,ball
dakira,,,ذاكرة,memory
bar,,,بار,bar
rbe3,rb3,,ربع,quarter
t2tir,,,تأثير,impact
race,,,راس,race
Sora,tSwira,,صورة,image
ti9a,,,ثقة,trust
7affa,,,حافة,edge
gaz,,,ڭاز,gas
sekka,skka,,سكة,railway
t3bir,,,تعبير,expression
momayyiza,,,مميزة,advantage
avantage,,,أفانتاج,advantage
dheb,dhb,dhab,دهب,gold
khcheb,khchb,khchab,خشب,wood
rizo,,,ريزو,network
text,,,تكست,text
ghaba,,,غابة,forest
okht,kht,,أخت,sister
rjel,rjl,,رجل,foot
Tl3,,,طلع,rise
chta,chtwa,,شتا,winter
9nt,9ent,9ont,قنت,corner
9nt,9ent,9ont,قنت,place
aSoranS,,,أصورانص,insurance
Darar,,,ضرر,damage
kridi,,,كريدي,credit
2alam,,,ألم,pain
tchri3,tachri3,,تشريع,legislation
Se77a,S77a,,صحة,strength
sor3a,,,سرعة,speed
kdia,kodia,,كدية,hill
ni9ach,,,نقاش,debate
irada,,,إرادة,will
7aDir,,,حاضر,present
ti9a,,,ثقة,confidence
Sebbar,,,صبار,patient
mriD,,,مريض,patient
ri7,,,ريح,wind
fer9a,fr9a,,فرقة,band
mt7af,mot7af,,متحف,museum
firma,,,فيرما,farm
jonayh,,,جنيه,pound
match,,,ماتش,match
t9Dir,ta9Dir,,تقدير,assessment
risala,,,رسالة,message
miSaj,,,ميساج,message
kora,,,كورة,football
lla,,,لا,no
7ayawan,,,حيوان,animal
jld,jeld,jald,جلد,skin
mshhed,mashhad,mash8ad,مشهد,scene
ma9al,,,مقال,article
materiel,,,ماتريال,stuff
mo9addima,,,مقدمة,introduction
msra7ia,,,مسرحية,play
idara,,,إدارة,administration
khawf,khouf,,خوف,fear
ab,,,أب,dad
nisba,,,نسبة,proportion
jazira,,,جزيرة,island
kontakt,,,كونتاكت,contact
yaban,,,يابان,japan
jappon,,,جاپّون,japan
moTalaba,,,مطالبة,claim
vidio,,,ڤيديو,video
tlfaza,,,تلفازة,tv
wojoud,,,وجود,existence
tilifoun,,,تيليفون,telephone
7araka,,,حركة,move
masafa,,,مسافة,distance
rtiya7,,,رتياح,relief
3iyada,,,عيادة,cabinet
khizana,,,خزانة,library
biTala,,,بطالة,unemployment
wa9i3,,,واقع,reality
hadaf,,,هدف,target
7jra,7ajra,7ejra,حجرة,rock
fikra,,,فكرة,concept
rou7,,,روح,spirit
monaDDama,,,منظمة,organization
bni,,,بني,construction
tilifoun,,,تيليفون,phone
tawzi3,,,توزيع,distribution
9iTar,,,قطار,train
mnDr,mnDer,menDer,منظر,sight
So3oba,,,صعوبة,difficulty
3amil,,,عامل,factor
tmrin,,,تمرين,exercise
wikand,,,ويكاند,weekend
m3raka,ma3raka,me3raka,معركة,battle
bourse,,,بورس,grant
min7a,,,منحة,grant
Tiyyara,,,طيارة,aircraft
9nTra,9enTra,9anTra,قنطرة,bridge
guenTra,gunTra,guanTra,ڭنطرة,bridge
stratijia,,,إستراتيجية,strategy
tawaSol,,,تواصل,communication
khlfia,khalfia,khelfia,خلفية,background
shkel,shakl,chkel,شكل,shape
vin,,,ڤان,wine
njma,nejma,najma,نجمة,star
amal,,,أمل,hope
khtiyar,,,ختيار,selection
tafaSil,tfSil,,تفاصيل,detail
mosta3mil,most3mil,,مستعمل,user
kliyan,,,كليان,client
ra2is,,,رئيس,master
chta,,,شتا,rain
3arD,3rD,3erD,عرض,offer
hadaf,,,هدف,goal
3cha,,,عشا,dinner
maw9if,,,موقف,attitude
wakala,,,وكالة,agency
m93ed,m93ad,ma93ad,مقعد,seat
Tari9a,,,طريقة,manner
kermoS,kermouS,,كرموص,fig
azma,,,أزمة,crisis
de7ka,d7ka,,ضحكة,smile
intaj,,,إنتاج,output
ml7oDa,,,ملاحظة,note
modakkira,,,مذكرة,note
nota,,,نوتة,note
ijra2,,,إجراء,procedure
msre7,,,مسرح,theatre
Dora,,,دورة,tour
3tiraf,,,إعتراف,recognition
wsT,,,وسط,middle
ghiyab,,,غياب,absence
bakia,,,باكية,package
masar,,,مسار,track
biTa9a,,,بطاقة,card
3alama,,,علامة,sign
ichara,,,إشارة,sign
ramz,,,رمز,sign
ltizam,,,التزام,commitment
la3ib,le33ab,,لاعب,player
tahdid,thdid,t8did,تهديد,threat
Ta9s,,,طقس,weather
jow,jaw,,جو,element
tnbih,tanbih,tnbi8,تنبيه,notice
ntiSar,,,نتصار,victory
te7t,ta7t,,تحت,bottom
malia,,,مالية,finance
flous,,,فلوس,fund
milaf,milef,milf,ملف,file
rbe7,rb7,rba7,ربح,profit
priz,,,پريز,jack
Tri9,,,طريق,route
chinwa,,,شينوا,china
mSrof,,,مصروف,expenditure
tani,,,تاني,second
nDibaT,,,نضباط,discipline
siloun,,,سيلون,cell
zinzana,,,زنزانة,cell
raddat lfi3l,,,ردة الفعل,reaction
9l3a,9al3a,9el3a,قلعة,castle
mo2tamar,,,مؤتمر,congress
fard,ferd,,فرد,individual
9iyada,,,قيادة,lead
3tibar,,,عتبار,consideration
din,dine,,دين,debt
khtiyar,,,ختيار,option
m3riD,ma3riD,,معرض,exhibition
iSla7,,,إصلاح,reform
teshdid,tshdid,tashdid,تشديد,emphasis
rabi3,,,ربيع,spring
jmhor,jomhor,jom8our,جمهور,audience
khaSSia,,,خاصّية,feature
miza,myza,,ميزة,feature
lmsa,lamsa,lemsa,لمسة,touch
milkia,,,ملكية,ownership
majliss,mjliss,,مجلس,assembly
7ajm,,,حجم,volume
mocharaka,,,مشاركة,contribution
program,,,پروڭرام,curriculum
maDhar,mDhar,mDher,مضهر,appearance
mo2assasa,mo2ssasa,,مؤسسة,institute
3oDwia,,,عضوية,membership
3rsh,3orsh,3arsh,عرش,branch
zbel,zbl,zbal,زبل,waste
3n9,3on9,,عنق,neck
3ng,3ong,,عنڭ,neck
mawDo3,,,موضوع,object
capitin,,,كابتن,captain
9obTan,,,قبطان,captain
ta7addi,,,تحدي,challenge
mo7adata,,,محادثة,conversation
7dit,7tit,,حديث,conversation
kod,,,كود,code
taj,,,تاج,crown
skat,,,سكات,silence
adab,,,أدب,literature
imane,,,إيمان,faith
jahennam,jahannam,,جهنّم,hell
mdkhl,mdkhal,,مدخل,entry
dkhla,,,دخلة,entry
nti9al,,,نتقال,transfer
ssiyed,ssiyd,,السيد,gentleman
chkara,,,شكارة,bag
mi7faDa,,,محفظة,bag
fakhr,fakher,,فاخر,coal
t79i9,ta79i9,,تحقيق,investigation
rjel,rjl,,رجل,leg
sa9,,,ساق,leg
3ti9ad,,,إعتقاد,belief
majmo3,majmou3,,مجموع,total
ra2is,,,رئيس,major
9a2id,,,قائد,major
wati9a,,,وثيقة,document
waSf,,,وصف,description
hadaf,,,هدف,aim
gharaD,,,غرض,aim
vol,,,ڤول,flight
khatima,,,خاتمة,conclusion
ta9lid,t9lid,,تقليد,tradition
plizir,,,پليزير,pleasure
moul,,,مول,owner
mo3ahada,mo3a8ada,,معاهدة,treaty
rghba,raghba,,رغبة,desire
professor,,,پروفسور,professor
nskha,noskha,,نسخة,copy
7amD,,,حامض,acid
9Ser,9Sr,,قصر,palace
adrissa,,,أدريسّا,address
mo2ssasa,mo2assasa,,مؤسسة,institution
ghda,,,غدا,lunch
jil,,,جيل,generation
chrik,charik,,شريك,partner
moTor,,,موطور,engine
jornan,,,جورنال,newspaper
tkhfiD,takhfiD,,تخفيض,reduction
rafahia,,,رفاهية,welfare
t3rif,ta3rif,te3rif,تعريف,definition
Tl9,Tle9,,طلق,release
tSwit,,,تصويت,vote
fa7S,,,فحص,examination
9aDi,,,قاضي,judge
ghilaf jawwi,,,غلاف جوّي,atmosphere
9iyada,,,قيادة,leadership
sma,,,سما,sky
nefs,nfs,nafs,نفس,breath
khal9,khl9,khel9,خلق,creation
Sf,Saf,Sef,صف,row
guide,,,ڭيد,guide
7lib,,,حليب,milk
tghTia,,,تغطية,cover
shasha,chacha,,شاشة,screen
hadaf,,,هدف,intention
na9d,,,نقد,criticism
ne9ra,no9ra,n9ra,نقرة,silver
kliyan,klian,,كليان,customer
ri7la,,,رحلة,journey
tfsir,tafsir,tefsir,تفسير,explanation
khDr,khDer,,خضر,green
3bar,,,عبار,measure
dmagh,,,دماغ,brain
m3na,me3na,,معنى,significance
iSaba,,,إصابة,injury
jria,jrya,jeria,جرية,run
plage,,,پلاج,coast
ti9nia,,,تقنية,technique
wad,ouad,,واد,valley
mchroub,mchrob,machrob,مشروب,drink
majalla,,,مجلة,magazine
imkania,,,إمكانية,potential
tawra,,,ثورة,revolution
mostawTana,,,مستوطنة,settlement
3isa,,,عيسى,christ
ma3din,m3dn,,معدن,metal
9tira7,,,إقتراح,motion
mo2ashshir,mo2chir,,مؤشّر,index
baligh,,,بالغ,adult
taDakhkhom,,,تضخّم,inflation
riyaDa,riaDa,,رياضة,sport
mofaja2a,,,مفاجأة,surprise
ta9a3od,,,تقاعد,pension
m3ml,ma3mal,me3mel,معمل,factory
shariT,,,شريط,tape
kaSiTa,,,كاسيط,tape
tayyar,,,تيار,flow
7did,,,حديد,iron
khaT,,,خط,lane
Tri9,,,طريق,lane
piscine,,,پيسين,pool
7fra,7ofra,7efra,حفرة,hole
parTma,,,پارطمة,flat
mo7tawa,,,محتوى,content
mazij,,,مزيج,combination
tkhliTa,,,تخليطة,combination
jelsa,jlsa,jalsa,جلسة,session
maw3id,mo3id,,موعد,appointment
lamoD,,,لاموض,fashion
mostahlik,,,مستهلك,consumer
klian,,,كليان,consumer
sokna,skna,,سكنى,accommodation
darajat l7arara,,,درجة الحرارة,temperature
din,dine,,دين,religion
katib,,,كاتب,author
mo2allif,,,مؤلّف,author
omma,2omma,,أمة,nation
chamali,shamali,,شمالي,northern
3ayyina,,,عيّنة,sample
mosa3ada,,,مساعدة,assistance
tarjama,terjama,trjama,ترجمة,interpretation
ta2wil,t2wil,,تأويل,interpretation
janib,,,جانب,aspect
3arD,,,عرض,display
ktef,ktf,,كتف,shoulder
wakil,,,وكيل,agent
Salon,,,صالون,gallery
konSir,,,كونصير,cancer
i9tira7,9tira7,2i9tira7,إقتراح,proposal
tasalsol,,,تسلسل,sequence
bakhira,,,باخيرة,ship
baTo,,,باطو,ship
entretiyan,,,أنتخوتيان,interview
markaba,merkaba,,مركبة,vehicle
dimo9raTia,,,ديمقراطية,democracy
ta7sin,t7sin,,تحسين,improvement
TaTwir,,,تطوير,improvement
tawarroT,,,تورّط,involvement
3am,,,عام,general
jiniral,,,جنيرال,general
wjba,wajba,,وجبة,meal
fTor,,,فطور,breakfast
moTor,,,موطور,motor
ida3a,,,إذاعة,channel
nTiba3,,,إنطباع,impression
Sonri,,,صونري,tone
wer9a,war9a,wr9a,ورقة,sheet
talawwoth,,,تلوّث,pollution
ljamal,,,لجمال,beauty
alzzine,,,الزين,beauty
morbba3,morabba3,morebba3,مربّع,square
ro2ya,,,رؤية,vision
bo93a,,,بقعة,spot
tmyiz,tamyiz,,تمييز,distinction
9ehwi,9ahwi,9hwi,قهوي,brown
jma3a,,,جماعة,crowd
mazoT,,,مازوط,fuel
mjmo3,majmo3,,مجموع,sum
nkhifaD,,,إنخفاض,decline
mdkhol,madkhol,madkhoul,مدخول,revenue
lkhrif,,,لخريف,fall
Ti7a,,,طيحة,fall
rijim,,,ريجيم,diet
trab,,,تراب,soil
9ari2,,,قارئ,reader
SaDma,SDma,SeDma,صدمة,shock
fakiha,,,فاكهة,fruit
b anniyaba,,,بالنيابة,behalf
nif,,,نيف,nose
mnkher,mankher,mnkhar,منخر,nose
7did,,,حديد,steel
fennan,fannan,,فنان,artist
oughnia,oghnia,,أغنية,song
disk,,,ديسك,song
Siyana,,,صيانة,maintenance
tekwin,takwin,tkwin,تكوين,formation
gazon,,,ڭازون,grass
naTi9 bi ism,,,ناطق بإسم,spokesman
telj,talj,tlj,تلج,ice
7adith,,,حديث,talk
bernamaj,barnamaj,brnamaj,برنامج,program
rabiT,,,رابط,link
khabir,,,خبير,expert
ikspir,,,إكسبير,expert
mo2assasa,mo2ssasa,,مؤسسة,establishment
mika,,,ميكا,plastic
plastic,,,پلاستيك,plastic
morsha7,morcha7,,مرشّح,candidate
mamarr,,,ممرّ,passage
kanisa,,,كنيسة,parish
marji3,merji3,mrji3,مرجع,reference
Tawari2,,,طوارئ,emergency
mas2oulia,ms2oulia,,مسؤولية,liability
maw9i3,,,موقع,location
iTar,,,إطار,framework
iDrab,,,إضراب,strike
l3robia,,,العروبية,countryside
khariTa,,,خريطة,map
bo7ayra,,,بحيرة,lake
manzili,mnzili,menzili,منزلي,household
mowafa9a,,,موافقة,approval
7odoud,,,حدود,border
Tayr,Tir,Twiyer,طير,bird
dostour,,,دستور,constitution
khrif,kharif,,خريف,autumn
mech,mesh,msh,مش,cat
fla7a,fila7a,,فلاحة,agriculture
zira3a,,,زراعة,agriculture
tarkiz,trkiz,terkiz,تركيز,concentration
shab,,,شاب,guy
derri,,,دري,guy
keswa,kswa,,كسوة,dress
jbel,jbl,,جبل,mountain
ra2is ta7rir,ra2is t7rir,ra2is te7rir,رئيس تحرير,editor
mowDo3,mwDo3,mawDo3,موضوع,theme
ghalaT,,,غلط,error
khaTa2,,,خطأ,error
9arD,9rD,9erD,قرض,loan
kridi,,,كريدي,loan
TanSio,TonSio,,طانصيو,stress
ta3afi,,,تعافي,recovery
DDo,,,الضو,electricity
rokod 9tiSadi,,,ركود إقتصادي,recession
tarwa,,,ثروة,wealth
Talab,,,طلب,request
mo9arana,,,مقارنة,comparison
byeD,byaD,,بيض,white
mechya,mchya,,مشية,walk
terkiz,tarkiz,trkiz,تركيز,focus
chef,,,شاف,chief
ra2is,,,رئيس,chief
lwalid,,,والد,parent
lwalida,,,والدة,parent
kotla,,,كتلة,mass
3shba,3oshb,,عشبة,bush
sas,,,ساس,foundation
7emmam,7ammam,7mmam,حمّام,bath
mwDo3,mawDo3,moDo3,موضوع,item
nachr,,,نشر,publication
3chr snin,3achr snin,,عشر سنين,decade
plage,,,پلاج,beach
skar,sokkar,,سكر,sugar
3lou,3low,,علو,height
rtifa3,,,رتفاع,height
katib,,,كاتب,writer
blaka,,,بلاكة,panel
Sira3,,,صراع,struggle
natija,,,نتيجة,outcome
kafa2a,,,كفاءة,efficiency
jarima,,,جريمة,offence
addi99a,,,الدقة,resolution
khabir,,,خبير,specialist
bar,,,بار,pub
ta3awon,,,تعاون,co-operation
merSa,,,مرسى,port
7adita,,,حادثة,incident
tamtil,,,تمثيل,representation
khobz,khbz,,خبز,bread
charT,sharT,shrT,شرط,clause
khata2,,,خطأ,mistake
ghalaT,,,غلط,mistake
kheddam,,,خدّام,worker
ta9addom,,,تقدّم,advance
imbraToria,,,إمبراطورية,empire
mfhoum,mafhoum,,مفهوم,notion
tawSil,,,توصيل,delivery
sndo9,,,صندوق,chest
rokhSa,rkhSa,,رخصة,licence
motawaSSiT,,,متوسّط,average
tawsi3,twsi3,tousi3,توسيع,expansion
majmo3a,mjmo3a,,مجموعة,block
badil,,,بديل,alternative
mostashar,,,مستشار,chancellor
l7em,l7m,l7am,لحم,meat
ma7all,,,محل,store
magaza,,,ماڭازة,store
ddat,,,الذات,self
stira7a,,,استراحة,break
drama,,,دراما,drama
charika,,,شركة,corporation
3omla,,,عملة,currency
tawsi3,tousi3,,توسيع,extension
mo2tamar,,,مؤتمر,convention
mo3ahada,,,معاهدة,convention
sharaka,charaka,charaaka,شراكة,partnership
mahara,,,مهارة,skill
tam3elmit,,,تامعلميت,skill
jawla,,,جولة,round
mDowwer,,,مدوّر,round
nniDam dial l7okm,,,النظام ديال الحكم,regime
t79i9,ta79i9,,تحقيق,inquiry
stifsar,,,إستفسار,inquiry
rigbi,,,ريڭبي,rugby
felsafa,falsafa,flsafa,فلسفة,philosophy
majal,,,مجال,scope
bab,,,باب,gate
a9allia,,,أقلّية,minority
daka2,,,ذكاء,intelligence
risTora,,,ريستورا,restaurant
natija,,,نتيجة,consequence
mT7ana,,,مطحنة,mill
golf,,,ڭولف,golf
ta9a3od,,,تقاعد,retirement
asba9ia,,,أسبقية,priority
awlawia,,,أولوية,priority
Tiyara,,,طيارة,plane
far9,fer9,,فرق,gap
9elb,9alb,,قلب,core
khal,,,خال,uncle
3mm,3em,,عمّ,uncle
nachat,nashat,,نشاط,fun
woSol,,,وصول,arrival
telj,,,تلج,snow
lla,,,لا,no
Darf,Derf,,ظرف,circumstance
amr,,,أمر,command
ta3assof,ta3ssof,,تعسف,abuse
isa2a,,,إساءة,abuse
7gra,7ogra,,حڭرة,abuse
7ed,7d,,حد,limit
ma9am,ma9aam,maqam,مقام,situation
garanTi,garanti,,ڭارانطي,guarantee
sllom,slloum,sellom,سلّوم,ladder
9zziba,,,قزيبة,tail
akhbar,a5bar,akhbaar,أخبار,news
jornan,journal,journan,جورنان,newspaper
jarida,,,جريدة,newspaper
t9rir,ta9rir,te9rir,تقرير,report
ghech,ghechch,ghch,غش,cheating
li9a7,,,لقاح,vaccine
nfijar,infijar,,إنفجار,explosion
tajmmo3,tajemmo3,tajammo3,تجمّع,gathering
jtima3,ljtima3,,إجتماع,meeting
Soura,Sora,,صورة,picture
9edd,9dd,,قد,size
chkel,chkl,,شكل,shape
chikaya,,,شكاية,complaint
mjerr,mjrr,mjarr,مجرّ,drawer
program,,,پروڭرام,program
sinyal,sinial,siniyal,سينيال,signal
sdd,sedd,sedd,سدّ,dam
Tlila,,,طليلة,look
kaDo,,,كاضو,gift
karTa,carta,carTa,كارطا,card
3odr,,,عذر,excuse
t3li9,ta3li9,te3li9,تعليق,comment
tlfaza,telfaza,,تلفازة,television
tilifon,,,تليفون,phone
kabl,cable,,كابل,cable
priz,prise,,پريز,power plug
charjour,charjor,,شارجور,charger
internet,intirnit,antirnit,إنترنت,internet
vidio,,,ڤيديو,video
odio,audio,odyo,أديو,audio
watsap,,,واتساب,whatsapp
fisbok,fisbouk,faysbouk,فيسبوك,facebook
bla slk,bla selk,bla salk,بلا سلك,wireless
slk,selk,salk,سلك,wire
batri,batterie,,بطارية,battery
boton,bouton,botona,بوتون,button
tilicomand,telecomand,telecommande,تيليكوماند,remote control
nitflix,netflix,,نيتفليكس,netflix
parabol,parabole,,پارابول,tv receiver
pici,pc,,پيسي,laptop
chacha,chaacha,,شاشة,screen
lizyat,liziat,,ليزيات,headphones
lizikottour,lizikotour,lizikotor,ليزيكوتور,headphones
matiryal,mataryan,materiel,ماتيريال,hardware
portabl,portable,,پورتابل,cell phone
maw3id,mou3id,maou3id,موعد,appointment
reveil,revey,rrevey,ريفاي,alarm