"verb","noun"
"kla","makla"
"chreb","chrab"
"ndm","nadam"
"t3wwd","ta3wwoud"
"3Tas","3Tsa"
"k7ob","ko7ba"
"2ejjel","t2jil"
"t3awn","mo3awana"
"tbadl","tabadol"
"9aaT3","mo9aTa3a"
"tTwwe3","taTwwo3"
"9oulb","9aleb"
"tjnnb","tajnnob"
"8ml","i8mal"
"tla9a","mla9ia"
"tjsses","tajssos"
"nta9m","nti9am"
"chka","chkwa"
"fchel","fachal"
"wSef","waSf"
"rje3","rojou3"
"daz","douza"
"ddabz","mdabza"
"dkhel","dkhoul"
"khrj","khrouj"
"fhem","fhama"
"chre7","cher7"
"9ra","9raya"
"9rra","9raya"
"sme3","sem3"
"chaf","choufan"
"chm","chm"
"da9","dou9an"
"9as","9isan"
"mcha","mchi"
"ja","mji"
"Tl3","Tlou3"
"Tl3","Tl3a"
"nzl","nzoul"
"nzl","nzla"
"3am","3ouman"
"ghr9","ghara9"
"lbs","lbas"
"slt","slit"
"chra","chra"
"ba3","bi3"
"ttawa","mtawia"
"ktb","ktba"
"ms7","msi7"
"Drab","Drib"
"tsalm","tsalim"
"3ya","3ya"
"tskhskh","tsekhsikh"
"D7ek","De7k"
"ghdb","ghaDab"
"gal","goulan"
"fkkr","tfkir"
"l9a","mla9ia"
"3Ta","3aTa2"
"khdm","khdma"
"3yeT","t3yaT"
"7ess","i7sas"
"7TT","7TTan"
"3na","m3na"
"3jb","i3jab"
"khbr","khbar"
"3awn","m3awna"
"wjjd","toujad"
"2amn","2iman"
"7awl","mo7awala"
"jrrb","tjrib"
"swwl","so2al"
"tfkkr","tfkir"
"byyen","tbyan"
"l3eb","le3b"
"jra","jra"
"sala","msalya"
"9TT3","t9Ta3"
"8Dr","8Dra"
"chker","chokr"
"bddel","tbdal"
"kmmel","kmala"
"ftarD","ftiraD"
"tmnna","omnia"
"tb3","mtab3a"
"9bl","9oboul"
"rfeD","rafD"
"w9e3","wo9o3"
"gles","glas"
"gles","glous"
"rbe7","rib7"
"zad","zyada"
"t3llm","ta3llom"
"tsnna","tsnya"
"7ell","7llan"
"bna","bni"
"khtar","khtyar"
"wSl","woSol"
"9rrer","9arar"
"nchT","nachaT"
"tfrrj","fraja"
"khsr","khasara"
"kbbr","tkbir"
"tkhyyl","khayal"
"sbbeb","sabab"
"8rrs","t8ras"
"sme3","sem3"
"kbr","kboria"
"mat","mout"
"twffa","wafat"
"zar","zyara"
"chjje3","tchji3"
"7ama","m7amya"
"nchr","nchir"
"9tl","9til"
"sag","sogan"
"kdb","kdoub"
"t9aj7","m9aj7a"
"7yyed","t7yad"
"3mmr","t3mar"
"safr","safar"
"7Dr","7oDor"
"9sse7","t9si7a"
"3ana","mo3anat"
"zgl","zgil"
"lga","mlagya"
"3bbr","t3bir"
"rkkz","trkiz"
"la7","lo7an"
"Sawb","mSayba"
"df3","dfi3"
"wrrk","twrak"
"wSl","woSol"
"jm3","jmi3"
"8rb","8roub"
"r77b","tr7ib"
"3wwl","t3wal"
"ta9","ti9a"
"3awd","m3awda"
"khTTeT","tkhTiT"
"frch","frcha"
"2kkd","toukid"
"kr8","kor8"
"tjwj","jwaj"
"9sm","9isma"
"tbnna","tabnni"
"tja8l","taja8ol"
"3rrf","t3rif"
"9ddm","t9dim"
"ttrina","antrima"
"br8n","bor8an"
"9n3","i9na3"
"Swwt","tSwit"
"nkr","nkra"
"khbba","tkhbya"
"nj7","naja7"
"Tlb","Talab"
"3tarf","3tiraf"
"7sb","7sab"
"ntama","ntima2"
"chekk","chekk"
"ghnna","ghna"
"nwa","nyya"
"brrer","tbrir"
"daf3","difa3"
"z3m","z3ama"
"tsara7","msara7a"
"7km","7kim"
"chark","mocharaka"
"ghsl","ghsil"
"la7D","mola7aDa"
"jme3","jem3"
"l77","il7a7"
"tla7","tlyi7a"
"Tyyb","Tyab"
"bka","bka"
"n3s","n3as"
"fa9","fya9"
"jm3","jmi3"
"nsa7b","nsi7ab"
"7ll","7llan"
"yastalzim","stilzam"
"tsllf","salaf"
"khaTr","mokhaTara"
"sm7","mosama7a"
"sam7","mosama7a"
"9tar7","9tira7"
"7tafl","7tifal"
"Dyy3","taDyyo3"
"ghbr","ghbour"
"tw993","taw99o3"
"ngr","ngir"
"9bT","9biT"
"gbD","gbiD"
"naD","noDan"
"7bes","7ebs"
"9yyd","t9yad"
"wllf","welf"
"khllT","tkhlaT"
"gyyd","tgyad"
"gyyd","tgyida"
"7rg","7rga"
"7rg","7rig"
"7r9","7ri9"
"staghl","stighlal"
"kma","kmaya"
"7ddr","t7dir"
"bass","bousan"
"3ln","i3lan"
"khtabr","khtibar"
"tnffs","tanffos"
"Saad9","Sid9"
"7tell","7tilal"
"7arrar","t7rir"
"btasm","btisama"
"7fr","7fra"
"7tarm","7tiram"
"8dded","t8did"
"lgha","ilgha2"
"khzn","khzin"
"nDDm","tnDim"
"nwwr","tnwir"
"7lf","7louf"
"7lm","7lma"
"SrT","SriT"
"bloka","blokaj"
"stab9","stiba9"
"tta8m","tti8am"
"ghwwt","ghwat"
"2ttr","t2tir"
"rttb","trtib"
"3ta9l","3ti9al"
"nb7","nbi7"
"khan","khyana"
"t7aTT","m7aTTa"
"khtalf","khtilaf"
"7tafD","7tifaD"
"Tar","Tayaran"
"jrr","jrran"
"8zz","8zzan"
"Ta7","Ti7an"
"3rf","m3rifa"
"nsa","nsyan"
"trjm","trjama"
"w3ed","wa3d"
"9llb","t9lab"
"7bb","7obb"
"3ach","ma3icha"
"skn","skna"
"khllS","khlaS"
"sdd","sddan"
"w9f","wo9of"
"stkhdm","stikhdam"
"stalm","stilam"
"fchl","fachal"
"sbb","sbban"
"chka","chkwa"
"fD7","fDi7a"
"3tadr","3tidar"
"3nng","t3nag"
"3nn9","t3na9"
"dfn","dfin"
"ghlb","ghlba"
"9der","9odra"
"3te9","3it9"
"gdd","gddan"
"imkn","imkania"
"khda","akhd"
"khSS","khaSaS"
"tDmmen","taDmmon"
"t7rrek","7araka"
"Dar","Doran"
"3tabr","3tibar"
"tmenna","tamenni"
"ntej","intaj"
"chdd","chddan"
"to99e3","taw99o3"
"Dmen","Damana"
"8ezz","8zzan"
"3reD","3raDa"
"d3em","da3m"
"hDer","hDra"
"9aad","9iada"
"b9a","ba9a2"
"w9ef","w9ouf"
"wgef","wgouf"
"w9ef","w9fa"
"wgef","wgfa"
"gadd","mgadda"
"ttaf9","ttifa9"
"Tbbe9","taTbi9"
"kowwen","kayan"
"3bber","t3bir"
"Dyye3","Daya3"
"Dyye3","taDyyo3"
"lta79","lti7a9"
"n99eS","n9San"
"n9ed","in9ad"
"tTelleb","taTallob"
"799e9","t79i9"
"t3amel","ta3amol"
"twaj8","mowaja8a"
"ghTTa","tghTia"
"Twwer","teTwir"
"maal","mayl"
"rsem","rasm"
"t7errek","7araka"
"t7errek","ta7rrok"
"3zel","3azl"
"3zel","m3azla"
"kllef","takllof"
"br8en","bor8an"
"w9e3","wo9o3"
"tna9ch","ni9ach"
"gabl","mgabla"
"sala","msalya"
"9Sed","9aSd"
"9lleb","t9lab"
"nfe3","nfe3"
"9sem","9isma"
"partaja","partaj"
"nche2","incha2"
"2esses","t2sis"
"t7kkem","ta7kkom"
"jawb","jawab"
"7edded","t7did"
"3tana","3tina2"
"mkken","tmkin"
"Taalb","moTalaba"
"kseb","kasb"
"mttel","tmtil"
"tDemmen","taDmmon"
"ghleb","ghlba"
"tchTen","chTna"
"t7mmel","ta7mmol"
"sedd","sddan"
"tsa2el","tasa2ol"
"naaseb","monaasaba"
"t3elle9","ta3llo9"
"7eTT","7TTan"
"chmel","chaml"
"ttaSel","ttiSal"
"achaar","ichara"
"khdem","khdma"
"tSerref","taSrrof"
"t2e9lem","ta29lom"
"rbe7","rbe7"
"f7eS","fa7S"
"redd","redd"
"3tamd","3timad"
"nja","najat"
"kemmel","kmala"
"rtaf3","rtifa3"
"9ddem","t9dim"
"rowwej","trwij"
"chejje3","tchji3"
"2edda","2ada2"
"medded","tmdid"
"khtalef","khtilaf"
"fad","ifada"
"3elle9","t3li9"
"Tyye7","Ti7a"
"bellegh","tbligh"
"Sbb","Sbban"
"khtaber","khtibar"
"2emmen","t2min"
"Towwel","tTwal"
"waaf9","mowafa9a"
"saa8em","mosa8ama"
"medd","imdad"
"rtabeT","rtibaT"
"tghelleb","ghlba"
"tkhelleS","khlaS"
"7awel","mo7awala"
"tkellef","takllof"
"jdeb","jadb"
"saa3d","mosa3ada"
"3awen","mo3awana"
"2etter","t2tir"
"jerreb","tjrib"
"jerreb","tjriba"
"fkker","tfkir"
"sina","sinyatur"
"sina","signature"
"khaf","khawf"
"khaf","khouf"
"lSe9","lSa9a"
"swwa","tswia"
"rigl","riglaj"
"rigl","reglage"
"9aaren","mo9arana"
"7seb","7sab"
"7e99e9","t79i9"
"n99a","n9a"
"n99a","tn9ia"
"sjjel","tsjil"
"chjjel","tchjil"
"ktachf","ktichaf"
"laam","lawm"
"3yye9","t3ya9"
"wSSel","twSil"
"wSSel","touSil"
"wSSel","mmaSel"
"brzeT","tbrziT"
"freD","farD"
"3ta9ed","3ti9ad"
"3zem","3azm"
"nSe7","naSi7a"
"ktaseb","ktisab"
"strje3","stirja3"
"tmiyyez","tamyyoz"
"chtabe8","chtiba8"
"mowwel","tmwil"
"8dem","8adm"
"rDa","rDa"
"tnafs","monafasa"
"9aawem","mo9awama"
"laa2em","mola2ama"
"khaaTeb","mokhaTaba"
"khaaTeb","khiTab"
"naachd","monachada"
"Tle9","Tl9a"
"frez","farz"
"wSSa","toSia"
"wSSa","tawSia"
"wSSa","wSyya"
"2amer","amr"
"8jem","8ojom"
"twesse3","tawsso3"
"tkerkeb","tkrkib"
"nfajer","nfijar"
"t3e88ed","ta388od"
"dkker","tdkir"
"fekker","tfkir"
"n8ej","na8j"
"rejje3","trji3a"
"Sder","Sodor"
"Sag","Syagha"
"gleb","glba"
"stetmer","stitmar"
"khTa","khTwa"
"weDDe7","twDi7"
"mlek","milk"
"mlek","mlk"
"t7edda","ta7ddi"
"7aawer","mo7awara"
"7aawer","7iwar"
"tselle9","tasllo9"
"fSel","faSl"
"7aafD","mo7aafaDa"
"7aafD","7ifaaD"
"7wwel","t7wil"
"a9arr","i9rar"
"stentej","stintaj"
"tira","tir"
"7essen","7sana"
"7essen","t7sin"
"ra9b","mora9aba"
"charja","charj"
"charja","charge"
"b7et","ba7t"
"stow3eb","sty3ab"
"chTe7","chTi7"
"Slla","Sla"
"Slla","Salat"
"zle9","zli9"
"zle9","zl9a"
"rtakb","rtikab"
"steb3ed","stib3ad"
"3der","3odr"
"fsser","tfsir"
"laa9a","mla9ya"
"tfawD","tafawoD"
"7ellel","t7lil"
"smma","tsmia"
"mtedd","mtidad"
"t9elle9","9ala9"
"t9elle9","t9li9a"
"2e88el","t28il"
"t2e88el","ta288ol"
"khsser","khasara"
"Sbegh","Sbagha"
"mne7","man7"
"mne7","min7a"
"sellef","salaf"
"tfa3l","tafa3ol"
"sta7e99","sti79a9"
"tre22es","ri2asa"
"wjje8","twji8"
"8beT","8boT"
"8beT","8bTa"
"tkebbed","takbbod"
"tkowwen","takwwon"
"3Sef","3aSf"
"rched","irchad"
"9ne3","9tina3"
"maars","momarasa"
"do99","d99an"
"tkhella","takhalli"
"jaweb","jawab"
"tDaa8er","taDaa8or"
"chawer","mochawara"
"chawer","tachawor"
"nkhareT","nkhiraT"
"7kem","7okm"
"7kkem","t7kim"
"3aalj","mo3alaja"
"3aalj","3ilaj"
"jessed","tjsid"
"7Ser","7aSr"
"7owwel","t7wil"
"t9a3d","ta9a3od"
"DbeT","DabT"
"s88el","ts8il"
"kobb","kbban"
"Sebb","Sbban"
"nsej","nasj"
"nsej","nasij"
"Trassa","Trasaj"
"sejjel","tsjil"
"7ffez","t7fiz"
"Tbe3","Tab3"
"Tbe3","Tiba3a"
"imprima","impression"
"twetter","tawttor"
"3yyen","t3yin"
"tdkhkhel","tadkhkhol"
"3tarD","3tiraD"
"9wwa","t9wia"
"dfe3","dfi3"
"ysser","tisir"
"7taj","7aaja"
"7taj","7tyaj"
"3god","3gda"
"9tabs","9tibas"
"syTer","sayTara"
"3jeb","i3jab"
"Semmem","tSmim"
"Tlle3","tTla3"
"sta9al","sti9ala"
"7errek","t7rik"
"7errek","7araka"
"9dder","t9dir"
"Dreb","Drb"
"rkel","rkil"
"rkel","rkla"
"3dded","ta3ddod"
"lbes","lbas"
"diklara","declaration"
"2ekked","t2kid"
"stamdd","stimdad"
"wDDe7","twDi7"
"nsekh","naskh"
"fDDel","tfDil"
"9beT","8oboT"
"3zzez","t3ziz"
"fhem","fahm"
"ghaader","moghadara"
"raaf9","morafa9a"
"S77e7","tS7i7"
"ab7ar","ib7ar"
"3owweD","t3wiD"
"sre9","sari9a"
"chfer","chfra"
"9owweD","t9wiD"
"3aareD","mo3araDa"
"zreb","zrba"
"ncher","nchir"
"9aaDaa","mo9aaDaat"
"Dowwa","iDa2a"
"tbaT2","tabaTo2"
"rfeD","rafD"
"rkkez","trkiz"
"Taabe9","moTaba9a"
"zrreb","tzrib"
"ghre9","ghara9"
"ntaz3","ntiza3"
"7tejj","7tijaj"
"waazen","mowazana"
"tbbet","tabat"
"Towwer","tTwir"
"Tred","Tard"
"tdffe9","tadffo9"
"jerr","jrran"
"tTaab9","taTabo9"
"chkkel","tchkil"
"khffef","tkhfif"
"3kes","3aks"
"ndamj","ndimaj"
"7iyyen","t7yin"
"ghiyyer","tghyir"
"amer","amr"
"mtatel","mtital"
"stkhrej","stikhraj"
"3aarD","mo3araDa"
"ste2nef","stinaf"
"tze3lel","tz3lila"
"sllem","tslim"
"sllem","tsalim"
"waaj8","mowaja8a"
"Doubl","Doblaj"
"chtamel","chtimal"
"ghres","ghars"
"jzem","jazm"
"kchef","kachf"
"3Ser","3Sir"
"bjegh","bjigh"
"rbeT","rabT"
"Derr","Darar"
"2aada","2ada"
"2aada","idaya"
"Tleb","Talab"
"3aana","mo3anat"
"t3awen","mo3awana"
"sre7","sri7"
"chdded","tchdid"
"3ber","3bir"
"wzen","wazn"
"tzaamn","tazamon"
"7na","n7ina2"
"7na","7nyan"
"nDDem","tnDim"
"rffe8","trfi8"
"twe99e3","taw99o3"
"Sdder","tSdir"
"le77","il7a7"
"skhkhen","tskhin"
"dffa","tdfia"
"sme7","mosama7a"
"Tmmer","Tmara"
"khDe3","khoDo3"
"nba8er","nbi8ar"
"nkhafD","nkhifaD"
"frek","frik"
"wkkel","twkil"
"wkkel","toukil"
"wzze3","touzi3"
"khlleS","khlaS"
"sta3aad","sti3ada"
"9ellel","t9lil"
"w99ef","tw9if"
"z3ej","iz3aj"
"3eDD","3DDan"
"t9ddem","ta9ddom"
"kerres","tkris"
"stafzz","stifzaz"
"Tem2en","tTmin"
"t2emmel","ta2mmol"
"7dder","t7dir"
"tfa3el","tafa3ol"
"btaker","btikar"
"3aan9","3ina9"
"3zza","3zo"
"3zza","t3zia"
"dowweb","tdwib"
"ttekka","tkya"
"7tars","7tiras"
"tchab8","tachabo8"
"tjowwej","jwaj"
"tzowwej","zwaj"
"8rres","8ers"
"9me3","9am3"
"faje2","mofaja2a"
"tredded","tarddod"
"ch7en","cha7n"
"SreT","SriT"
"Tfaa","Tafw"
"t7ekkem","ta7kkom"
"rde3","rad3"
"adaar","idaara"
"9tel","9tila"
"9tel","9til"
"t9atl","m9atla"
"taabr","motabara"
"7eyya","ta7ia"
"dmme3","dmou3"
"Taared","moTarada"
"fsed","fasad"
"sTTer","tsTir"
"baark","mobaraka"
"khtar9","khtira9"
"Daa3ef","moDa3afa"
"dmej","idmaj"
"dmej","damj"
"derreb","tdrib"
"jeff","tjfaf"
"stenzef","stinzaf"
"kfa","kifaya"
"t9dda","m9dia"
"tsab9","siba9"
"tsab9","mosaba9a"
"chrref","tchrif"
"jemmed","tjmid"
"daawa","mdawia"
"daawa","dwa"
"3alj","3ilaj"
"3alj","mo3alaja"
"tbadel","mobadala"
"Taard","moTarada"
"ste8lek","sti8lak"
"tsenna","tsnia"
"njarf","njiraf"
"steslem","stistlam"
"ziyyer","tzyar"
"9elleS","t9liS"
"miyyez","tmyiz"
"3len","i3lan"
"Saal7","moSala7a"
"Saal7","taSalo7"
"tSowwer","tSwir"
"nsse9","tnsi9"
"l3en","la3n"
"Teyyeb","Tyab"
"Twa","Twyan"
"tnazl","tanazol"
"jdded","tjdid"
"Saagh","Syagha"
"khelleT","tkhlaT"
"mse7","mas7"
"wjjeh","twjih"
"tsa8el","tasa8ol"
"khffeD","tkhfiD"
"7jez","7ajz"
"rezerva","reservation"
"st9bel","sti9bal"
"tTowwer","taTwwor"
"r3a","ri3aya"
"3ggez","3gz"
"Towwe9","tTwi9"
"khSSeS","tkhSiS"
"chref","ichraf"
"tlacha","talachi"
"adaan","idana"
"Sle7","iSla7"
"3a9b","3i9ab"
"frg3","tfrgi3"
"frg3","tfrgi3a"
"st3reD","sti3raD"
"saad","syada"
"n99ez","tn9az"
"lwa","lwya"
"tfa8em","tafa8om"
"n8aar","n8iyar"
"7ma","7imaya"
"mne3","man3"
"ghowwet","ghwat"
"twa3d","mowa3ada"
"kre8","kor8"
"mla","imla2"
"w77ed","tw7id"
"stowred","stirad"
"zda8er","zdi8ar"
"nta9ed","nti9ad"
"Tiyyeb","Tyab"
"8reb","8rib"
"8reb","8orob"
"8reb","8rba"
"mde7","mad7"
"tbe3","ttibaa3"
"9aabel","m9abla"
"gaabel","mgabla"
"chedded","tchdid"
"lowwen","tlwin"
"ghaamer","moghamara"
"khemmen","tkhmin"
"9edder","t9dir"
"ghader","moghadara"
"9aaTe3","mo9aTa3a"
"9Te3","9Ti3"
"mowwe8","tmwi8"
"ntakheb","ntikhab"
"t7emmel","ta7mmol"
"kbe7","kab7"
"nma","nama2"
"3awed","m3awda"
"n7arf","n7iraf"
"9la","9li"
"dab","dawaban"
"3ddel","t3dil"
"jmme3","jam3"
"khrreb","tkhrib"
"srre3","tsri3"
"tSower","tSwar"
"8enne2","t8ni2a"
"staredd","stirdad"
"8beT","8oboT"
"wggef","twgif"
"jrreb","tjrib"
"khle3","khli3"
"khle3","khl3a"
"9oulb","t9oulib"
"9oulb","t9ouliba"
"al8am","il8am"
"chaafa","chifa2"
"DbeT","DabT"
"kemmel","kmala"
"khdech","khadch"
"stelzem","stilzam"
"nffed","tnfid"
"3dem","i3dam"
"wTTed","twTid"
"berrer","tbrir"
"D33ef","iD3af"
"tmechcha","mchia"
"wsse3","twsi3"
"drdech","drdacha"
"rkeb","rokob"
"khtar3","khtira3"
"Sne3","Sina3a"
"raaj3","moraja3a"
"mSS","mSSan"
"Sowwer","tSawer"
"STadem","STidam"
"frchekh","tfrchikh"
"frchekh","tfrchikha"
"n9el","n9il"
"3iyyen","t3yin"
"stfser","stifsar"
"Syyed","Syada"
"dowwer","tdwar"
"zyyen","tzyin"
"jme3","jmi3"
"staghell","stighlal"
"wret","wrt"
"khrbe9","tkhrbi9"
"khne9","khan9"
"daaf3","difa3"
"ghmmes","tghmas"
"chtark","chtirak"
"3llem","t3lim"
"Tlle9","Tala9"
"ghzel","ghazl"
"chowwech","tchwich"
"tsellel","tasllol"
"7rref","t7rif"
"mzej","mazj"
"nseb","nasb"
"sken","skna"
"n99eT","tn9iT"
"9iyyem","t9yim"
"jaaza","jaza2"
"kaf7","kifa7"
"bllegh","tbligh"
"tserreb","tsrib"
"rTTeb","trTib"
"chiyyer","tchyar"
"sToka","sTokaj"
"wDe3","waD3"
"nkharT","nkhiraT"
"tchbbet","tachbbot"
"sted3a","stid3a"
"wgf","wgif"
"khwa","khwya"
"rtteb","trtib"
"9chcher","t9char"
"tna","tenia"
